"Fluorophore","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"PE-Fire 744_DayAfter",10.2510528564453,-45.8360137939453,-181.984527587891,-249.044067382812,-384.597106933594,-651.192687988281,-900.266357421875,-421.198486328125,52.830810546875,3.4061279296875,8.01852416992188,86.1588134765625,2199.07939910889,14470.1894836426,9745.46617126465,6085.61769866943,-32.1116638183594,-98.2487182617188,-95.304443359375,-95.2993774414062,-22.729248046875,21.5711669921875,128.300048828125,1011.56921386719,474.773559570312,455.224609375,233.605773925781,511.254852294922,9020.66958618164,44980.0317077637,35472.6106567383,14370.8488311768,862.1328125,642.198608398438,1001.28991699219,4116.93939208984,2209.41256713867,1421.04840087891,1040.88735961914,901.71452331543,3837.20686340332,22120.1916809082,103233.577102661,178617.748321533,97503.4362258911,102643.376708984,75.9683227539062,119.763195037842,581.931751251221,3952.60694122314,24766.219543457,32087.8276405334,24775.2504425049,12614.4846763611
"Alexa Fluor 647_DayAfter",2.58110046386719,-48.8638916015625,-279.665794372559,-378.999176025391,-644.727035522461,-1103.52435302734,-1776.57086181641,-960.745910644531,-570.731353759766,-167.085845947266,-56.1635513305664,-7.50690460205078,-24.131462097168,6.97300720214844,41.1186676025391,22.1356811523438,-34.7933044433594,-135.904357910156,-167.702972412109,-134.873413085938,-168.934326171875,-156.058532714844,-190.545532226562,-102.40185546875,-56.4782104492188,-78.44482421875,-15.7261352539062,18.1232147216797,25.8218078613281,46.7079772949219,111.831619262695,68.2437896728516,-9.21954345703125,-10.9673461914062,26.988525390625,85.0150451660156,37.1607666015625,44.5799255371094,26.3248138427734,53.7274932861328,44.162727355957,16.8109512329102,39.6496200561523,186.217498779297,357.417762756348,331.892913818359,806.435546875,1569.45023727417,1316.62785720825,732.625679016113,619.318572998047,427.825107574463,395.42529296875,202.351131439209
"PE-Cy5_DayAfter",-3.57669448852539,-17.9977416992188,-109.735229492188,-137.856292724609,-231.755004882812,-375.388366699219,-612.79833984375,-351.665161132812,-216.039978027344,-68.2743072509766,561.327667236328,360.652313232422,233.28539276123,254.570114135742,130.216125488281,74.3967514038086,-11.9647064208984,-69.56005859375,-102.385192871094,-90.9290466308594,-98.325439453125,-78.9429931640625,-106.544921875,-40.5485229492188,-54.3114624023438,-66.3955688476562,2426.48760986328,1404.71865844727,916.675567626953,754.193878173828,409.561340332031,157.708236694336,41.1883544921875,22.5514526367188,32.23583984375,327.059020996094,156.541839599609,128.995086669922,8719.46035766602,11246.1207733154,7880.30744934082,3836.10025024414,2783.73457336426,2006.97891235352,1187.97327423096,1226.55847167969,2328.34390258789,3892.60898971558,3022.83555984497,1822.47162628174,1577.27496337891,972.77991104126,810.247940063477,424.796123504639
"BUV805_DayAfter",196.239784240723,874.079956054688,770.339233398438,656.948364257812,639.205810546875,663.76513671875,552.280029296875,272.906127929688,187.575927734375,78.4915161132812,29.45068359375,22.9454040527344,30.671760559082,391.434173583984,7575.98374938965,18308.6606674194,32.3868408203125,15.7908325195312,-17.06494140625,-44.6084594726562,7.6943359375,39.27783203125,100.083984375,116.02490234375,101.376708984375,103.115600585938,81.8837890625,70.02978515625,96.466552734375,122.578918457031,973.112731933594,1742.7183380127,330.987915039062,406.802734375,358.8720703125,129.301025390625,90.7201843261719,57.6532592773438,8.72760009765625,17.4909820556641,15.9774169921875,18.0117034912109,17.4053649902344,40.8105163574219,134.247673034668,344.593353271484,-6.39804077148438,-15.556812286377,-4.71438980102539,-7.28781509399414,35.5039520263672,235.660465240479,2403.24629211426,3195.45757675171
"BV750_DayAfter",-3.02307891845703,-34.4823913574219,-38.3922729492188,-54.1862182617188,-60.3545532226562,-96.267333984375,-35.25146484375,7.76416015625,21.19482421875,13.2361450195312,16.883544921875,2.46414184570312,262.503898620605,1943.60696411133,1646.91050720215,1011.09658050537,559.991027832031,517.821472167969,574.584594726562,240.310974121094,172.994384765625,116.9912109375,140.791748046875,89.98828125,63.93798828125,81.6632080078125,28.9286499023438,91.6375427246094,1567.89456176758,8514.64694213867,8031.99053955078,3319.11567687988,-40.4891357421875,-34.7899169921875,8.4085693359375,-1.58050537109375,-7.296630859375,-0.29010009765625,-8.58370971679688,-12.2580108642578,5.80340576171875,38.1425018310547,219.740036010742,450.778045654297,287.610511779785,318.898895263672,-15.2603340148926,-24.5568103790283,-0.968276977539062,74.3985061645508,513.167114257812,780.515140533447,696.67219543457,348.283535003662
"Spark Blue 550_DayAfter",10.176643371582,-8.74696350097656,-34.3106689453125,-10.7139892578125,1.993896484375,-12.2645263671875,777.154296875,3804.62072753906,2941.72180175781,983.084594726562,364.118927001953,174.012512207031,134.005165100098,150.427337646484,125.766525268555,86.0057754516602,9.9019775390625,42.80078125,52.8910522460938,65.3739624023438,611.965698242188,7598.87976074219,29614.9301757812,18095.5662841797,11807.7374267578,10067.9377441406,3704.14068603516,1736.60507202148,1516.73831176758,1176.70639038086,950.296325683594,476.157424926758,3261.13330078125,31084.0179443359,101849.348022461,34555.3768920898,26821.0024108887,16723.5347290039,8688.84219360352,5637.59440612793,5408.76179504395,3176.1018371582,1997.61470031738,1745.3967590332,1349.97553253174,1493.70227050781,-11.7949981689453,-7.13508987426758,-7.55570602416992,-12.2561073303223,-0.920673370361328,9.32574081420898,14.8911247253418,2.96934127807617
"PE-Dazzle 594_DayAfter",3.06080627441406,26.2820587158203,153.682434082031,238.175506591797,410.748474121094,714.174438476562,1307.92944335938,779.166259765625,858.901977539062,1608.89245605469,541.784454345703,285.272598266602,170.527976989746,157.094055175781,112.715225219727,59.9499588012695,54.0117340087891,157.625823974609,274.369873046875,261.810424804688,356.000183105469,290.581298828125,408.124267578125,1211.85595703125,2758.34448242188,8746.31176757812,2385.40545654297,1190.4055480957,755.167755126953,512.13720703125,378.265869140625,149.78498840332,120.174560546875,65.7666015625,142.599670410156,2918.75225830078,7186.32833862305,17544.8745727539,7353.09390258789,5544.65641784668,4891.9185333252,2199.73623657227,1142.70039367676,971.820465087891,634.624946594238,569.85595703125,16.9265594482422,22.8533515930176,16.500186920166,24.3135681152344,10.4539527893066,10.3912658691406,23.2510452270508,6.40052795410156
"BV650_DayAfter",19.7641754150391,37.8464202880859,236.474975585938,343.466552734375,540.890014648438,888.234619140625,1546.39868164062,896.439575195312,670.552368164062,500.986450195312,1431.34292602539,673.258605957031,465.730155944824,427.527801513672,269.479568481445,177.611473083496,823.002990722656,854.080749511719,991.486328125,555.994079589844,450.370483398438,352.238525390625,406.652099609375,321.468383789062,395.134765625,2460.61743164062,7825.54888916016,3399.23739624023,2681.57534790039,1665.36911010742,1116.34149169922,513.224624633789,-11.873779296875,-40.4556884765625,-1.6533203125,35.4857788085938,6.61968994140625,33.6797485351562,147.717376708984,96.7733917236328,82.4481048583984,55.0235443115234,27.6086959838867,36.7896575927734,19.0417327880859,27.6761627197266,871.375152587891,832.682231903076,809.254077911377,547.887275695801,360.170989990234,218.275302886963,216.244125366211,105.052654266357
"BUV496_DayAfter",472.383888244629,2142.7265625,1825.02990722656,1597.35607910156,2277.3662109375,11122.8347167969,60220.8098144531,31584.2540283203,15339.5601806641,3829.92993164062,952.661285400391,382.557708740234,241.010627746582,220.315856933594,171.371932983398,97.7648468017578,37.3031463623047,77.0267639160156,460.729858398438,3338.19915771484,11951.0137939453,9125.70251464844,9516.64697265625,3970.55285644531,2241.15942382812,1744.63598632812,467.211364746094,199.286437988281,160.220611572266,119.028533935547,104.476547241211,65.2462310791016,5005.6787109375,3601.92639160156,2371.6591796875,566.552978515625,402.036315917969,236.914001464844,88.2018737792969,56.4518890380859,49.5515365600586,42.9449768066406,13.5793304443359,27.442741394043,23.2320289611816,33.5488967895508,-3.96542358398438,-17.8068237304688,-4.13303184509277,-6.5254077911377,-0.624530792236328,-1.36511611938477,9.01251029968262,-8.44662857055664
"Alexa Fluor 700_DayAfter",18.3631896972656,41.3785400390625,165.660888671875,262.108947753906,390.042053222656,649.032470703125,1031.2138671875,568.759521484375,369.194580078125,113.751159667969,98.7590026855469,847.694610595703,4223.00347137451,4126.15188598633,2373.2596282959,1715.57125091553,62.1596984863281,131.366638183594,192.625793457031,166.861145019531,215.352905273438,179.316528320312,187.423828125,95.110107421875,37.6166381835938,35.5042724609375,168.566619873047,4081.06307983398,20155.6647033691,14674.8134460449,8400.24395751953,4177.17793273926,121.723571777344,130.189819335938,85.8905639648438,29.7749633789062,17.6025085449219,19.5922088623047,53.1497192382812,146.307479858398,1225.9376373291,2612.1643371582,2107.3345489502,1196.8742980957,875.145484924316,948.659057617188,313.504547119141,4614.17417526245,34624.8382453918,93050.1889724731,95880.301574707,44628.1577186584,45700.7172393799,24778.9280357361
